DATA,VALOR,DESCRIÇÃO,CATEGORIA,OPERAÇÃO,MOVIMENTAÇÃO,ARCHIVE
2023-01-26,"36,28",Drogarias Pacheco,Saúde,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2022-10-13,36,Pag*Daniellamenezesde,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-11
2022-11-27,36,Drinks Alvorada,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-12
2022-12-30,"35,88",Ice Bier Ii,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2023-02-19,"35,78",Leacy Tayla Barbosa Cravo,Dívida,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2024-03-17,"35,5",Sabor do Gil e Cia,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2024-04-10,"35,2",Piratas Bar,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2023-01-15,35,Pag*Spotsalestecnolog,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2023-01-06,35,Pizzaria 4 Sabores,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2023-01-04,35,Pizzaria 4 Sabores,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2023-05-19,35,Ponto do Riacho,Compras/Catira,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2024-01-14,35,Igreja Evangelica Ver,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-02
2024-02-07,35,Igreja Evangelica Ver,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2024-03-14,35,Igreja Evangelica Ver,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2024-04-29,35,Informa Mark*Agrishow,Lazer,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-04-29,35,Informa Mark*Agrishow,Lazer,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-04-25,35,Igreja Evangelica Ver,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-04-07,35,Igreja Evangelica Ver,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-05-19,35,Igreja Evangelica Ver,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-06-08,35,Igreja Evangelica Ver,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
